Sample_ID,Cancer_Type,Label,BRCA1,BRCA2,ERBB2,ESR1,PGR,GATA3,FOXA1,EGFR,KRAS,ALK,MET,ROS1,STK11,KEAP1,BRAF,TP53,PIK3CA,MYC,PTEN,CDK1,UHRF1,HMMR,CEP55,ASPM,RAD51AP1,DLGAP5,KIF11,PBK,HMGB2,CDKN2A,SMAD4,RB1,ATM,APC,VHL,RET,CTNNB1,FGFR1,FGFR2,FGFR3,NOTCH1,JAK2,STAT3,MTOR,AKT1,CCND1,CDK4,CDK6,MDM2,BCL2
TCGA-NORM-031,Normal,0,4.8116,6.8891,6.358,5.1114,4.0722,4.5541,3.6785,6.0414,5.6672,6.1099,4.0002,6.0421,5.4363,4.095,4.2981,4.5688,5.0804,4.793,5.622,4.5187,5.3365,3.9706,3.5518,5.2038,5.3349,5.6008,4.4694,5.3635,4.6002,3.8641,5.694,3.8107,4.2752,5.4771,6.3343,5.7624,3.9433,4.739,5.1747,4.6037,4.3587,5.6063,3.6185,6.0283,4.7623,5.7694,4.7652,4.979,4.8303,4.4454
TCGA-NORM-032,Normal,0,4.3415,4.777,5.8068,5.7238,3.2799,3.8888,4.4064,6.8315,5.3318,5.2302,3.963,6.7525,5.5407,4.1075,4.1828,3.9745,4.7245,5.8856,5.0957,4.5271,5.2148,3.6035,5.0401,4.771,4.9221,7.1643,4.5737,4.793,5.1115,4.619,5.3876,3.7279,4.5568,5.7869,6.9674,6.2645,4.4689,4.7913,5.5358,5.3521,4.4866,4.7085,3.7861,6.464,4.4187,5.2759,4.256,5.3348,6.1309,3.9263
TCGA-NORM-033,Normal,0,4.8349,6.7271,5.5745,5.5206,3.8652,4.5359,4.0436,6.3492,5.8568,6.7231,4.3061,6.2804,5.9188,4.3082,4.5523,4.2706,4.7451,5.7474,4.4973,5.1536,5.9388,4.2538,3.6879,4.5325,5.587,5.7171,3.9896,4.9042,5.6816,4.3482,5.2291,4.2101,3.9668,5.6725,6.8513,5.6334,5.2179,4.8995,5.9546,4.7741,4.4502,5.0785,3.669,6.1465,4.0387,5.992,4.4767,5.2347,5.3302,4.2902
TCGA-NORM-034,Normal,0,5.088,5.8779,6.0025,4.7114,4.4001,5.2157,3.6776,5.6006,5.5537,5.6386,4.2031,6.3539,6.117,4.9665,4.5844,4.2949,4.972,6.0094,4.8906,4.2022,5.8443,4.2527,3.665,5.1873,4.7625,5.6866,4.5887,5.217,5.6226,3.9062,5.5675,4.2584,4.4756,6.3645,5.7034,6.2672,4.429,4.5785,5.6706,5.7955,4.1679,4.9322,4.0669,5.8641,4.9293,4.7302,4.2116,4.6636,5.6304,5.1765
TCGA-NORM-035,Normal,0,4.777,6.0156,5.6419,5.8399,3.9259,4.4505,4.5666,6.1311,5.4078,6.0082,2.8288,6.4388,5.537,3.6434,4.6301,5.0216,4.6075,5.5833,5.6758,5.2324,6.0841,4.6408,4.6767,4.0851,4.8926,5.3479,5.4162,5.0522,5.3588,4.3504,5.3562,5.1379,3.8629,6.1751,5.7903,5.1845,4.3949,4.1982,5.3121,4.6567,3.6356,5.052,3.3985,6.3425,4.6064,4.8017,4.5466,4.8057,5.3464,5.0099
TCGA-NORM-036,Normal,0,3.9802,6.1433,5.5383,5.6192,4.4392,4.0048,3.9842,5.5474,5.8067,5.5673,4.9008,6.1065,5.5126,3.786,3.5886,3.6906,4.7895,5.3834,4.2387,5.0435,5.1287,4.3729,5.3682,5.2096,4.8825,5.3264,3.471,4.8077,5.2083,3.658,5.2775,4.4097,4.0419,5.795,6.2003,5.9773,4.1795,4.8498,5.4609,4.9768,4.5872,5.1943,4.5046,6.1297,4.2937,5.6202,4.1711,5.193,5.1878,4.313
TCGA-NORM-037,Normal,0,4.7661,5.2447,5.3635,5.3588,4.4152,3.8807,4.6974,5.5158,5.7587,5.75,3.7545,6.9327,5.2942,4.8808,4.8503,4.1017,5.2959,5.0419,5.0802,4.7578,5.2856,4.6718,4.9998,4.0192,5.5903,4.9793,4.9039,5.6383,4.8124,3.9173,4.839,4.2784,4.0045,6.4384,6.714,6.4065,4.4172,4.1207,4.7478,4.6057,4.7027,5.8164,3.5202,5.7339,4.5574,5.5836,4.3214,5.335,4.9895,4.4002
TCGA-NORM-038,Normal,0,5.0698,6.0945,5.414,5.2677,4.3035,4.1767,4.0113,6.625,5.5749,5.4248,4.3589,5.9836,6.3593,4.6335,4.3517,4.605,3.9624,4.6474,4.413,4.705,6.1257,5.311,4.9298,5.0314,4.1929,5.4832,4.0848,4.8519,5.2276,3.8898,4.4459,4.7117,3.6604,6.1952,7.0577,5.3648,3.5315,4.0862,6.0007,5.8496,3.7152,5.3129,3.8663,5.9528,5.7593,4.7812,4.7999,5.3546,5.6914,4.4508
TCGA-NORM-039,Normal,0,4.9626,5.9153,5.7315,5.1626,4.6229,4.1769,4.2975,5.8924,5.8292,5.5346,3.2474,6.7017,5.4238,4.173,4.132,5.022,3.7083,6.5665,5.4255,4.7412,5.3214,4.4354,4.8772,5.0963,5.2534,5.7677,4.3505,5.0632,5.2156,4.6124,5.6037,3.052,4.4383,6.1752,6.116,5.6036,5.176,4.6413,5.1575,5.1515,3.8312,4.4686,3.7936,6.3886,4.9982,5.6884,5.0121,5.3764,4.9141,4.601
TCGA-NORM-040,Normal,0,5.1842,6.431,6.1454,5.6358,4.5014,4.8248,4.1158,5.5087,5.2491,5.2226,3.7415,6.0688,5.4748,4.3286,3.5479,4.4995,4.6699,4.7868,5.2469,5.0626,4.6227,3.9637,4.2966,4.383,5.3766,5.6402,4.3203,4.2296,5.5893,3.5445,5.3636,4.5,4.7554,5.4986,4.7656,5.8612,5.4804,4.7724,5.5997,4.7471,4.6317,4.6513,4.29,6.228,5.0464,6.6994,4.8624,4.9151,5.1913,3.6106
TCGA-NORM-041,Normal,0,4.5114,5.9074,5.3745,5.3856,3.9732,4.8477,4.1279,5.9014,5.1749,5.6276,4.4166,5.7436,5.5352,4.3305,3.7944,4.0348,4.455,5.5479,5.0684,4.7278,5.729,4.2451,4.8184,4.7595,5.1228,5.4651,3.3418,5.0709,5.9435,4.519,5.771,4.9314,4.183,6.1763,5.8464,5.6362,4.9472,4.7566,5.4426,4.7658,4.2687,5.3599,3.4259,4.9672,4.3216,4.9082,4.4571,5.0776,4.9988,5.0603
TCGA-NORM-042,Normal,0,4.971,6.2268,5.8904,4.8046,4.8108,4.3091,4.4295,5.4233,4.6233,5.9258,4.2147,5.7279,5.44,4.9736,3.8648,5.1427,4.2641,5.4417,4.8024,4.9121,5.1012,4.2336,4.6611,4.355,5.3367,5.4964,4.3364,4.6839,4.1503,4.0162,6.4223,4.7282,4.1344,5.9692,6.1345,6.0247,4.1388,4.7163,5.8272,5.2915,4.4658,5.0982,4.3784,6.2668,4.41,5.1994,4.7316,5.8412,4.6452,3.7463
TCGA-NORM-043,Normal,0,4.8981,6.1145,5.6884,5.4268,4.2428,5.0136,3.4074,5.5328,5.276,4.8183,3.9662,6.8815,5.8408,4.571,3.8329,4.1261,4.5005,5.0115,5.527,4.8917,4.8459,4.4178,4.8669,5.3191,5.7146,5.2706,4.0744,4.5654,5.198,4.3121,5.7809,4.341,3.9992,6.1558,5.7486,6.7188,3.9467,4.298,6.4159,4.9714,4.183,4.9285,3.9945,6.6183,3.574,6.1476,4.045,5.0242,5.0096,4.6715
TCGA-NORM-044,Normal,0,4.1048,6.2995,6.5213,4.7036,4.4286,4.0453,4.3194,5.9142,5.0338,5.7773,4.8572,6.0479,6.1553,3.8852,3.9696,4.6161,5.3372,5.3145,4.8094,4.6404,4.7834,4.5789,5.0398,4.6026,4.7918,5.847,4.2428,5.1016,6.2482,3.991,5.1753,4.0838,4.478,6.006,5.8322,6.3731,5.309,3.9447,4.6654,5.4217,3.9604,5.4452,3.1891,6.4022,4.0243,5.7864,4.6922,4.7149,5.0196,4.7155
TCGA-NORM-045,Normal,0,4.8716,6.3546,6.4998,4.6131,5.071,4.3901,3.7233,5.3069,5.2373,5.9725,3.9879,6.8138,5.1783,4.4617,3.8364,4.5671,5.0684,4.9651,3.7784,4.7302,5.5426,4.4888,5.1988,4.324,5.3095,6.264,3.6389,5.2752,5.0764,4.0655,5.4931,4.1559,3.839,6.1029,5.6351,5.2899,4.9759,3.6979,5.8052,5.1765,3.4919,4.7845,4.613,5.559,4.3603,5.6655,5.0383,5.031,4.9339,5.0467
TCGA-NORM-046,Normal,0,5.6065,6.5321,5.6488,4.9533,3.9695,4.5783,4.3161,6.5363,5.6152,4.8814,4.5187,5.6847,5.6586,4.5797,5.2981,5.803,4.9424,5.072,5.1908,5.0401,5.2018,5.1147,4.7463,5.03,5.303,5.9171,4.8168,4.8536,5.0521,3.6071,5.5344,4.7257,4.3491,6.8411,6.1219,6.0794,4.1789,4.0407,5.8183,5.3504,4.1362,5.0572,3.3926,5.8398,4.97,5.7164,4.9111,5.1665,5.2059,4.1095
TCGA-NORM-047,Normal,0,5.1385,6.281,5.8318,5.0803,3.3742,4.8369,3.9123,5.5173,5.6345,5.3814,4.5223,6.4115,6.139,3.8525,4.9454,4.5211,4.5032,5.219,4.151,4.8246,4.8829,3.6982,3.9577,5.3067,4.7202,6.4176,4.1982,4.363,4.8009,4.6583,5.2664,4.1284,4.2151,6.3134,6.6272,6.4303,4.5083,3.6182,5.3193,5.0855,3.8348,4.6587,4.2304,5.9786,4.5841,5.1162,4.5821,4.7282,5.6034,4.8725
TCGA-NORM-048,Normal,0,3.9932,5.6733,4.9369,5.0245,4.3057,3.6908,3.7129,5.4538,5.4157,5.589,3.7205,6.2134,5.5854,4.3449,5.1531,5.0067,4.0845,5.5278,5.3154,4.124,5.7145,4.999,4.1376,4.3931,5.4613,5.8496,4.6874,5.2846,5.4791,3.5053,5.8079,4.9015,4.0399,6.068,5.4354,6.0099,4.9276,4.1869,6.0113,4.818,4.5226,4.6305,4.0651,5.922,4.6707,5.2913,4.6266,5.5159,5.0062,3.6837
TCGA-NORM-049,Normal,0,5.6113,6.7132,5.0289,5.6274,4.1169,4.4618,4.2602,5.8001,4.9698,5.247,3.633,5.7595,5.8011,4.1451,4.7069,5.0728,4.4083,5.2622,5.1751,4.8531,5.3803,4.6411,4.8597,4.249,5.3945,6.1267,4.0958,5.1484,5.6108,4.008,5.8194,5.4389,3.7894,5.4661,6.2611,6.1032,4.5663,4.8688,4.9029,5.2801,3.9958,5.8631,4.9723,5.6555,4.322,5.8444,4.5116,5.1237,5.2142,3.5428
TCGA-NORM-050,Normal,0,4.8178,5.7812,5.3885,5.9667,3.7778,4.7091,4.0023,5.7797,5.6781,5.7108,4.3021,6.5695,5.6823,4.1916,3.9117,4.0321,5.9964,5.7146,4.3423,4.0456,5.5629,4.5532,4.8897,4.6913,4.9469,5.8749,4.4779,4.1326,5.1999,3.7191,5.4154,5.7185,4.3085,5.9465,6.5392,5.9957,4.8592,4.488,6.4308,4.4594,4.4816,4.6725,4.3256,5.5871,4.3815,5.3248,5.1249,5.5575,4.6422,4.4314
TCGA-NORM-051,Normal,0,4.5047,5.5252,5.5127,5.1782,5.4353,4.538,3.5079,5.6514,5.7821,6.4976,3.3316,5.2878,6.6733,4.6425,4.0093,4.6441,3.4832,5.156,5.0978,5.0566,4.8898,4.3454,4.2263,4.9209,4.6004,5.5437,3.9912,5.4243,5.6896,3.9966,5.3538,3.7233,4.0083,6.065,7.3037,5.2781,5.329,4.6635,5.6316,5.7597,4.4359,5.2645,4.0518,6.5511,5.0627,5.176,4.0921,5.0528,4.8427,4.3781
